Letter,ID,P1,P2
RM1,25205003,-33.48902512,-46.91675949
RM1,25205003,-32.0193634,-79.01643372
RM1,25205003,-32.91883087,-40.24304962
RM1,25205003,-79.28145599,-155.5753937
RM1,25205003,-110.2728577,-117.5970764
RM1,25205003,-62.70559311,-32.18801498
RM1,25205003,-38.78944778,-152.3148346
RM1,25205003,-33.40068436,-36.45244217
RM1,25205003,-53.670784,-95.78504181
RM1,25205003,-33.22400665,-120.5042801
RM1,25205003,-81.61042786,-112.128006
RM1,25205003,-31.07974434,-178.7848206
RM1,25205003,-99.23834229,-52.85162735
RM1,25205003,-152.403183,-137.1443939
RM1,25205003,-86.73416901,-114.1999893
RM1,25205003,-79.0485611,-145.5768738
RM1,25205003,-122.4156418,-60.77013397
RM1,25205003,-228.7694092,-103.0369797
RM1,25205003,-110.2407379,-109.0200348
RM1,25205003,-113.637825,-100.8204422
RM1,25205003,-161.5986023,-135.3534851
RM1,25205003,-117.7898178,-149.5281067
RM1,25205003,-64.56877136,-167.1078339
RM1,25205003,-127.5795364,-227.6772003
RM1,25205003,-46.1859436,-185.9564514
RM1,25205003,-39.03037643,-101.8965836
RM1,25205003,-106.4180069,-35.00687408
RM1,25205003,-115.3082581,-145.2154846
RM1,25205003,-146.1711731,-148.0022278
RM1,25205003,-35.01490402,-83.84303284
RM1,25205003,-171.9826202,-47.47089767
RM1,25205003,-121.9659119,-131.7315369
RM1,25205003,-152.7404785,-149.0783691
RM1,25205003,-36.25167084,-95.4557724
RM1,25205003,-46.7641716,-150.523941
RM1,25205003,-174.9942169,-175.6045685
RM1,25205003,-196.2039337,-36.9021759
RM1,25205003,-87.38467407,-139.2645569
RM1,25205003,-34.28408813,-142.9266663
RM1,25205003,-62.85014725,-155.0132294
RM1,25205003,-180.2303925,-135.0643768
RM1,25205003,-87.9307785,-63.516716
RM1,25205003,-64.78560638,-172.2074738
RM1,25205003,-40.6847496,-207.9210815
RM1,25205003,-60.95484543,-52.40992355
RM1,25205003,-60.0794754,-171.1634521
RM1,25205003,-72.34272003,-81.49799347
RM1,25205003,-53.06846237,-120.2071304
RM1,25205003,-76.35819244,-122.1345596
RM1,25205003,-205.2226868,-111.8388901
RM1,25205003,-91.92215729,-102.2981339
RM1,25205003,-96.30705261,-50.53068542
RM1,25205003,-192.2125549,-108.5943909
RM1,25205003,-106.3216324,-116.0872574
RM1,25205003,-139.8749084,-210.0653381
RM1,25205003,-44.4271698,-176.2631073
RM1,25205003,-127.1217728,-218.6745148
RM1,25205003,-118.4162369,-209.3586121
RM1,25205003,-202.8856812,-216.9237671
RM1,25205003,-127.892746,-69.90934753
RM1,25205003,-342.3750916,-220.3047943
RM1,25205003,-344.6880188,-175.620636
RM1,25205003,-348.181488,-253.5769806
RM1,25205003,-382.931366,-251.0954132
RM1,25205003,-395.796936,-251.753952
RM1,25205003,-363.2876892,-229.0103302
RM1,25205003,-406.3335266,-259.8491516
RM1,25205003,-376.7957153,-260.8289185
RM1,25205003,-360.8382263,-177.1224213
RM1,25205003,-371.5274353,-289.7403259
RM1,25205003,-297.980072,-301.6421814
RM1,25205003,-423.3109436,-279.2679749
RM1,25205003,-400.2540894,-275.7423706
RM1,25205003,-336.1752014,-234.8568573
RM1,25205003,-357.9792175,-180.3669128
RM1,25205003,-303.1278992,-331.204071
RM1,25205003,-346.0773621,-272.224823
RM1,25205003,-431.0206299,-177.1143799
RM1,25205003,-360.340332,-226.062973
RM1,25205003,-382.553894,-156.1134796
RM1,25205003,-378.1609802,-167.5896912
RM1,25205003,-324.658844,-186.1090393
RM1,25205003,-383.413208,-200.3077393
RM1,25205003,-341.5559387,-213.9924774
RM1,25205003,-380.2731018,-146.5084686
RM1,25205003,-375.2216492,-195.7782898
RM1,25205003,-309.5767517,-113.0435333
RM1,25205003,-353.5621948,-242.4782257
RM1,25205003,-298.2129517,-263.4229126
RM1,25205003,-298.4217529,-181.8446045
RM1,25205003,-292.4065857,-233.2024841
RM1,25205003,-288.5918884,-127.4590759
RM1,25205003,-371.5033264,-218.3050842
RM1,25205003,-364.7252197,-68.70470428
RM1,25205003,-220.5135956,-158.8680878
RM1,25205003,-177.7568665,-255.8818665
RM1,25205003,-334.9304199,-148.7731934
RM1,25205003,-300.7667847,-117.6613235
RM1,25205003,-170.0391235,-192.6221313
RM1,25205003,-218.2247772,-171.2277069
RM1,25205003,-228.7212219,-142.0513
RM1,25205003,-237.6917725,-214.4984131
RM1,25205003,-275.3167419,-268.6028748
RM1,25205003,-255.5124359,-258.564209
RM1,25205003,-227.7093201,-87.93881226
RM1,25205003,-163.5902863,-224.0150909
RM1,25205003,-320.7477722,-125.4352798
RM1,25205003,-197.7217865,-258.1465759
RM1,25205003,-189.3455048,-146.6208954
RM1,25205003,-183.2660828,-236.3666687
RM1,25205003,-229.0023041,-202.1468353
RM1,25205003,-259.8652039,-217.1405945
RM1,25205003,-239.9805908,-262.5635986
RM1,25205003,-34.34833908,-225.9987335
RM1,25205003,-198.5971527,-251.6977386
RM1,25205003,-204.2429047,-165.7907562
RM1,25205003,-277.1317444,-78.15712738
RM1,25205003,-248.8949432,-297.1127014
RM1,25205003,-274.2566528,-169.8865356
RM1,25205003,-297.6427612,-129.7960815
RM1,25205003,-265.4868774,-247.7866669
RM1,25205003,-82.14849854,-137.0801392
RM1,25205003,-131.9804993,-99.02150726
RM1,25205003,-198.9906769,-107.4379349
RM1,25205003,-151.6723633,-258.4838867
RM1,25205003,-187.5706787,-102.1214523
RM1,25205003,-43.8489418,-177.5159302
