letter,ID,P1,P2,time,cell,sex,X,Y,age,animal,synapses,treatment,category,R_a,days_alone,animal_or_slicing_problems
AA,24605002.abf,-52.02,-29.44,0,1.1.1,Female,222.96,348.57,35,1,Glutamate,Control,1,"1.5, 1.5, 1.6, 1.7, 1.6, 1.6",0,No
AA,24605002.abf,-68.62,-94.86,0.08,1.1.1,Female,222.96,348.57,35,1,Glutamate,Control,1,"1.5, 1.5, 1.6, 1.7, 1.6, 1.6",0,No
AA,24605002.abf,-121.62,-35.56,0.17,1.1.1,Female,222.96,348.57,35,1,Glutamate,Control,1,"1.5, 1.5, 1.6, 1.7, 1.6, 1.6",0,No
AA,24605002.abf,-74.69,-28.3,0.25,1.1.1,Female,222.96,348.57,35,1,Glutamate,Control,1,"1.5, 1.5, 1.6, 1.7, 1.6, 1.6",0,No
AA,24605002.abf,-57.96,-47.58,0.33,1.1.1,Female,222.96,348.57,35,1,Glutamate,Control,1,"1.5, 1.5, 1.6, 1.7, 1.6, 1.6",0,No
AA,24605002.abf,-34.97,-28.25,0.42,1.1.1,Female,222.96,348.57,35,1,Glutamate,Control,1,"1.5, 1.5, 1.6, 1.7, 1.6, 1.6",0,No
AA,24605002.abf,-61.36,-66.24,0.5,1.1.1,Female,222.96,348.57,35,1,Glutamate,Control,1,"1.5, 1.5, 1.6, 1.7, 1.6, 1.6",0,No
AA,24605002.abf,-77.41,-31.02,0.58,1.1.1,Female,222.96,348.57,35,1,Glutamate,Control,1,"1.5, 1.5, 1.6, 1.7, 1.6, 1.6",0,No
AA,24605002.abf,-59.28,-55.01,0.67,1.1.1,Female,222.96,348.57,35,1,Glutamate,Control,1,"1.5, 1.5, 1.6, 1.7, 1.6, 1.6",0,No
AA,24605002.abf,-132.32,-28.56,0.75,1.1.1,Female,222.96,348.57,35,1,Glutamate,Control,1,"1.5, 1.5, 1.6, 1.7, 1.6, 1.6",0,No
AA,24605002.abf,-98.8,-47.54,0.83,1.1.1,Female,222.96,348.57,35,1,Glutamate,Control,1,"1.5, 1.5, 1.6, 1.7, 1.6, 1.6",0,No
AA,24605002.abf,-91.77,-54.54,0.92,1.1.1,Female,222.96,348.57,35,1,Glutamate,Control,1,"1.5, 1.5, 1.6, 1.7, 1.6, 1.6",0,No
AA,24605002.abf,-78.32,-37.42,1,1.1.1,Female,222.96,348.57,35,1,Glutamate,Control,1,"1.5, 1.5, 1.6, 1.7, 1.6, 1.6",0,No
