"letter","ID","P1","P2","X","Y","x","y","time","cell","sex","age","animal","synapses","treatment","category","r_a","notes","days_alone","animal_or_slicing_problems"
"TW1","21714028",-3.9,-16.72,NA,NA,NA,NA,0,NA,"Male",NA,1,"Glutamate","Cold",1,"1.8,1.7,1.7,1.6,1.8",NA,NA,NA
"TW1","21714028",-6.02,-9.68,NA,NA,NA,NA,0.08,NA,"Male",NA,1,"Glutamate","Cold",1,"1.8,1.7,1.7,1.6,1.8",NA,NA,NA
"TW1","21714028",-6.07,-3.63,NA,NA,NA,NA,0.17,NA,"Male",NA,1,"Glutamate","Cold",1,"1.8,1.7,1.7,1.6,1.8",NA,NA,NA
"TW1","21714028",-8.88,-8.27,NA,NA,NA,NA,0.25,NA,"Male",NA,1,"Glutamate","Cold",1,"1.8,1.7,1.7,1.6,1.8",NA,NA,NA
"TW1","21714028",-3.87,-8.15,NA,NA,NA,NA,0.33,NA,"Male",NA,1,"Glutamate","Cold",1,"1.8,1.7,1.7,1.6,1.8",NA,NA,NA
"TW1","21714028",-5.86,-4.64,NA,NA,NA,NA,0.42,NA,"Male",NA,1,"Glutamate","Cold",1,"1.8,1.7,1.7,1.6,1.8",NA,NA,NA
"TW1","21714028",-6.63,-6.02,NA,NA,NA,NA,0.5,NA,"Male",NA,1,"Glutamate","Cold",1,"1.8,1.7,1.7,1.6,1.8",NA,NA,NA
"TW1","21714028",-4.42,-5.64,NA,NA,NA,NA,0.58,NA,"Male",NA,1,"Glutamate","Cold",1,"1.8,1.7,1.7,1.6,1.8",NA,NA,NA
"TW1","21714028",-1.97,-3.19,NA,NA,NA,NA,0.67,NA,"Male",NA,1,"Glutamate","Cold",1,"1.8,1.7,1.7,1.6,1.8",NA,NA,NA
"TW1","21714028",-6.16,-9.82,NA,NA,NA,NA,0.75,NA,"Male",NA,1,"Glutamate","Cold",1,"1.8,1.7,1.7,1.6,1.8",NA,NA,NA
"TW1","21714028",-3.8,-7.46,NA,NA,NA,NA,0.83,NA,"Male",NA,1,"Glutamate","Cold",1,"1.8,1.7,1.7,1.6,1.8",NA,NA,NA
"TW1","21714028",-3.02,-2.41,NA,NA,NA,NA,0.92,NA,"Male",NA,1,"Glutamate","Cold",1,"1.8,1.7,1.7,1.6,1.8",NA,NA,NA
"TW1","21714028",-3.93,-1.49,NA,NA,NA,NA,1,NA,"Male",NA,1,"Glutamate","Cold",1,"1.8,1.7,1.7,1.6,1.8",NA,NA,NA
"TW1","21714028",-5.08,-6.3,NA,NA,NA,NA,1.08,NA,"Male",NA,1,"Glutamate","Cold",1,"1.8,1.7,1.7,1.6,1.8",NA,NA,NA
"TW1","21714028",-4.3,-4.3,NA,NA,NA,NA,1.17,NA,"Male",NA,1,"Glutamate","Cold",1,"1.8,1.7,1.7,1.6,1.8",NA,NA,NA
"TW1","21714028",-3.01,-6.06,NA,NA,NA,NA,1.25,NA,"Male",NA,1,"Glutamate","Cold",1,"1.8,1.7,1.7,1.6,1.8",NA,NA,NA
"TW1","21714028",-5.03,-3.81,NA,NA,NA,NA,1.33,NA,"Male",NA,1,"Glutamate","Cold",1,"1.8,1.7,1.7,1.6,1.8",NA,NA,NA
"TW1","21714028",-2.34,-4.17,NA,NA,NA,NA,1.42,NA,"Male",NA,1,"Glutamate","Cold",1,"1.8,1.7,1.7,1.6,1.8",NA,NA,NA
"TW1","21714028",-3.21,-9.31,NA,NA,NA,NA,1.5,NA,"Male",NA,1,"Glutamate","Cold",1,"1.8,1.7,1.7,1.6,1.8",NA,NA,NA
"TW1","21714028",-4.76,-16.35,NA,NA,NA,NA,1.58,NA,"Male",NA,1,"Glutamate","Cold",1,"1.8,1.7,1.7,1.6,1.8",NA,NA,NA
"TW1","21714028",-4.42,-5.03,NA,NA,NA,NA,1.67,NA,"Male",NA,1,"Glutamate","Cold",1,"1.8,1.7,1.7,1.6,1.8",NA,NA,NA
"TW1","21714028",-1.8,-5.46,NA,NA,NA,NA,1.75,NA,"Male",NA,1,"Glutamate","Cold",1,"1.8,1.7,1.7,1.6,1.8",NA,NA,NA
"TW1","21714028",-2.39,-7.88,NA,NA,NA,NA,1.83,NA,"Male",NA,1,"Glutamate","Cold",1,"1.8,1.7,1.7,1.6,1.8",NA,NA,NA
"TW1","21714028",1.58,-7.58,NA,NA,NA,NA,1.92,NA,"Male",NA,1,"Glutamate","Cold",1,"1.8,1.7,1.7,1.6,1.8",NA,NA,NA
"TW1","21714028",-7.95,-6.12,NA,NA,NA,NA,2,NA,"Male",NA,1,"Glutamate","Cold",1,"1.8,1.7,1.7,1.6,1.8",NA,NA,NA
"TW1","21714028",-5.42,-9.09,NA,NA,NA,NA,2.08,NA,"Male",NA,1,"Glutamate","Cold",1,"1.8,1.7,1.7,1.6,1.8",NA,NA,NA
"TW1","21714028",-1.64,-5.31,NA,NA,NA,NA,2.17,NA,"Male",NA,1,"Glutamate","Cold",1,"1.8,1.7,1.7,1.6,1.8",NA,NA,NA
"TW1","21714028",-4.17,-6.61,NA,NA,NA,NA,2.25,NA,"Male",NA,1,"Glutamate","Cold",1,"1.8,1.7,1.7,1.6,1.8",NA,NA,NA
"TW1","21714028",-5.86,-2.81,NA,NA,NA,NA,2.33,NA,"Male",NA,1,"Glutamate","Cold",1,"1.8,1.7,1.7,1.6,1.8",NA,NA,NA
"TW1","21714028",-2.47,-2.47,NA,NA,NA,NA,2.42,NA,"Male",NA,1,"Glutamate","Cold",1,"1.8,1.7,1.7,1.6,1.8",NA,NA,NA
"TW1","21714028",-2.16,-2.77,NA,NA,NA,NA,2.5,NA,"Male",NA,1,"Glutamate","Cold",1,"1.8,1.7,1.7,1.6,1.8",NA,NA,NA
"TW1","21714028",-3.69,-7.35,NA,NA,NA,NA,2.58,NA,"Male",NA,1,"Glutamate","Cold",1,"1.8,1.7,1.7,1.6,1.8",NA,NA,NA
"TW1","21714028",-6.93,-36.84,NA,NA,NA,NA,2.67,NA,"Male",NA,1,"Glutamate","Cold",1,"1.8,1.7,1.7,1.6,1.8",NA,NA,NA
"TW1","21714028",-16.89,-9.57,NA,NA,NA,NA,2.75,NA,"Male",NA,1,"Glutamate","Cold",1,"1.8,1.7,1.7,1.6,1.8",NA,NA,NA
"TW1","21714028",-60.79,-39.43,NA,NA,NA,NA,2.83,NA,"Male",NA,1,"Glutamate","Cold",1,"1.8,1.7,1.7,1.6,1.8",NA,NA,NA
"TW1","21714028",-35.48,-48.91,NA,NA,NA,NA,2.92,NA,"Male",NA,1,"Glutamate","Cold",1,"1.8,1.7,1.7,1.6,1.8",NA,NA,NA
"TW1","21714028",-4.44,-42.28,NA,NA,NA,NA,3,NA,"Male",NA,1,"Glutamate","Cold",1,"1.8,1.7,1.7,1.6,1.8",NA,NA,NA
"TW1","21714028",-30.47,-15.21,NA,NA,NA,NA,3.08,NA,"Male",NA,1,"Glutamate","Cold",1,"1.8,1.7,1.7,1.6,1.8",NA,NA,NA
"TW1","21714028",-41.12,-49.67,NA,NA,NA,NA,3.17,NA,"Male",NA,1,"Glutamate","Cold",1,"1.8,1.7,1.7,1.6,1.8",NA,NA,NA
"TW1","21714028",-48.42,-24.61,NA,NA,NA,NA,3.25,NA,"Male",NA,1,"Glutamate","Cold",1,"1.8,1.7,1.7,1.6,1.8",NA,NA,NA
"TW1","21714028",-29.72,-49.25,NA,NA,NA,NA,3.33,NA,"Male",NA,1,"Glutamate","Cold",1,"1.8,1.7,1.7,1.6,1.8",NA,NA,NA
"TW1","21714028",-29.44,-46.53,NA,NA,NA,NA,3.42,NA,"Male",NA,1,"Glutamate","Cold",1,"1.8,1.7,1.7,1.6,1.8",NA,NA,NA
"TW1","21714028",-28.8,-58.71,NA,NA,NA,NA,3.5,NA,"Male",NA,1,"Glutamate","Cold",1,"1.8,1.7,1.7,1.6,1.8",NA,NA,NA
"TW1","21714028",-33.53,-9.72,NA,NA,NA,NA,3.58,NA,"Male",NA,1,"Glutamate","Cold",1,"1.8,1.7,1.7,1.6,1.8",NA,NA,NA
"TW1","21714028",-21.97,-38.45,NA,NA,NA,NA,3.67,NA,"Male",NA,1,"Glutamate","Cold",1,"1.8,1.7,1.7,1.6,1.8",NA,NA,NA
"TW1","21714028",-26.65,-11.39,NA,NA,NA,NA,3.75,NA,"Male",NA,1,"Glutamate","Cold",1,"1.8,1.7,1.7,1.6,1.8",NA,NA,NA
"TW1","21714028",-18.2,-79.24,NA,NA,NA,NA,3.83,NA,"Male",NA,1,"Glutamate","Cold",1,"1.8,1.7,1.7,1.6,1.8",NA,NA,NA
"TW1","21714028",-68.73,-53.47,NA,NA,NA,NA,3.92,NA,"Male",NA,1,"Glutamate","Cold",1,"1.8,1.7,1.7,1.6,1.8",NA,NA,NA
"TW1","21714028",-18.84,-40.2,NA,NA,NA,NA,4,NA,"Male",NA,1,"Glutamate","Cold",1,"1.8,1.7,1.7,1.6,1.8",NA,NA,NA
"TW1","21714028",-17.78,-54.4,NA,NA,NA,NA,4.08,NA,"Male",NA,1,"Glutamate","Cold",1,"1.8,1.7,1.7,1.6,1.8",NA,NA,NA
"TW1","21714028",-23.65,-56,NA,NA,NA,NA,4.17,NA,"Male",NA,1,"Glutamate","Cold",1,"1.8,1.7,1.7,1.6,1.8",NA,NA,NA
"TW1","21714028",-39.8,-26.98,NA,NA,NA,NA,4.25,NA,"Male",NA,1,"Glutamate","Cold",1,"1.8,1.7,1.7,1.6,1.8",NA,NA,NA
"TW1","21714028",-16.42,-30.46,NA,NA,NA,NA,4.33,NA,"Male",NA,1,"Glutamate","Cold",1,"1.8,1.7,1.7,1.6,1.8",NA,NA,NA
"TW1","21714028",-17.9,-2.64,NA,NA,NA,NA,4.42,NA,"Male",NA,1,"Glutamate","Cold",1,"1.8,1.7,1.7,1.6,1.8",NA,NA,NA
"TW1","21714028",-28.65,-64.66,NA,NA,NA,NA,4.5,NA,"Male",NA,1,"Glutamate","Cold",1,"1.8,1.7,1.7,1.6,1.8",NA,NA,NA
"TW1","21714028",-15.12,-26.72,NA,NA,NA,NA,4.58,NA,"Male",NA,1,"Glutamate","Cold",1,"1.8,1.7,1.7,1.6,1.8",NA,NA,NA
"TW1","21714028",-11.25,-33.22,NA,NA,NA,NA,4.67,NA,"Male",NA,1,"Glutamate","Cold",1,"1.8,1.7,1.7,1.6,1.8",NA,NA,NA
