letter,cell,sex,x,y,age,animal,synapses,treatment,category,R_a,Notes,days_alone,animal_or_slicing_problems
TW1,,Male,,,,1,Glutamate,Cold,1,"1.8,1.7,1.7,1.6,1.8",,,
TW2,,Male,,,,,Glutamate,Cold,1,"1.2, 1.3, 1.3, 1.3, 1.3, 1.4, 1.4",,,
TW3,,Male,,,,,Glutamate,Cold,1,"1.4, 1.5, 1.6, 1.4, 1.5, 1.5, 2.0",,,
TW4,,Male,,,,,Glutamate,Cold,1,"1.5, 1.5, 1.6, 1.6, 1.7, 1.6, 1.6",,,
TW5,,Male,,,,,Glutamate,Cold,1,"1.7, 1.6, 1.5, 1.6, 1.6, 1.6, 1.6, 1.8, 1.8, 1.8",,,
TW8,,Male,,,,,Glutamate,Cold,1,,,,
TW9,,Male,,,,,Glutamate,Cold,1,,,,
TW11,,Male,,,,,Glutamate,Cold,1,,,,
TW13,,Male,,,,,Glutamate,Cold,1,,,,
TW15,,Male,,,,,Glutamate,Cold,1,"1.7, 1.7, 1.7, 1.8, 1.8, 1.8, 1.8, 1.9, 1.9, 1.9",,,
TW16,,Male,,,,,Glutamate,Cold,,,,,
TW17,,Male,,,,,Glutamate,Cold,,,,,
TW18,,Male,,,,,Glutamate,Cold,,,,,
TW19,,Male,,,,,Glutamate,Cold,,,,,
