letter,ID,P1,P2,X,Y
TW1,21714028,-3.89878,-16.7162,,
TW1,21714028,-6.02255,-9.68466,,
TW1,21714028,-6.07238,-3.63097,,
TW1,21714028,-8.88124,-8.27089,,
TW1,21714028,-3.87386,-8.14633,,
TW1,21714028,-5.86062,-4.63992,,
TW1,21714028,-6.62667,-6.01632,,
TW1,21714028,-4.41571,-5.63641,,
TW1,21714028,-1.9743,-3.195,,
TW1,21714028,-6.15957,-9.82168,,
TW1,21714028,-3.79913,-7.46124,,
TW1,21714028,-3.02062,-2.41027,,
TW1,21714028,-3.92992,-1.48851,,
TW1,21714028,-5.07588,-6.29659,,
TW1,21714028,-4.3036,-4.3036,,
TW1,21714028,-3.00816,-6.05992,,
TW1,21714028,-5.03229,-3.81158,,
TW1,21714028,-2.34176,-4.17281,,
TW1,21714028,-3.20746,-9.31098,,
TW1,21714028,-4.75825,-16.3549,,
TW1,21714028,-4.42193,-5.03229,,
TW1,21714028,-1.79991,-5.46202,,
TW1,21714028,-2.39158,-7.88475,,
TW1,21714028,1.575704,-7.57957,,
TW1,21714028,-7.95325,-6.1222,,
TW1,21714028,-5.42466,-9.08676,,
TW1,21714028,-1.64421,-5.30632,,
TW1,21714028,-4.16658,-6.60799,,
TW1,21714028,-5.86062,-2.80886,,
TW1,21714028,-2.47255,-2.47255,,
TW1,21714028,-2.16114,-2.77149,,
TW1,21714028,-3.68702,-7.34913,,
TW1,21714028,-6.93185,-36.8391,,
TW1,21714028,-16.8905,-9.56633,,
TW1,21714028,-60.7923,-39.43,,
TW1,21714028,-35.4814,-48.9091,,
TW1,21714028,-4.44062,-42.2824,,
TW1,21714028,-30.4678,-15.209,,
TW1,21714028,-41.124,-49.6689,,
TW1,21714028,-48.4171,-24.6134,,
TW1,21714028,-29.7204,-49.2516,,
TW1,21714028,-29.4401,-46.53,,
TW1,21714028,-28.8049,-58.7121,,
TW1,21714028,-33.5257,-9.72203,,
TW1,21714028,-21.9727,-38.4521,,
TW1,21714028,-26.6499,-11.3912,,
TW1,21714028,-18.2047,-79.2398,,
TW1,21714028,-68.7268,-53.468,,
TW1,21714028,-18.8399,-40.2022,,
TW1,21714028,-17.7812,-54.4023,,
TW1,21714028,-23.6542,-56.0029,,
TW1,21714028,-39.7974,-26.98,,
TW1,21714028,-16.4172,-30.4553,,
TW1,21714028,-17.8995,-2.6407,,
TW1,21714028,-28.6492,-64.6599,,
TW1,21714028,-15.1218,-26.7185,,
TW1,21714028,-11.2479,-33.2206,,
TW1,21714028,-31.6013,-32.2116,,
TW1,21714028,-19.9049,-14.4118,,
TW1,21714028,-16.5916,-14.7605,,
TW1,21714028,-14.3246,-13.7142,,
TW1,21714028,-27.0859,-45.3965,,
TW1,21714028,-2.36667,-13.353,,
TW1,21714028,-26.8679,-31.7507,,
TW1,21714028,-13.3405,-20.0544,,
TW1,21714028,-13.2409,-40.7067,,
TW1,21714028,-18.6157,-37.5366,,
TW1,21714028,-12.9669,-23.3428,,
TW1,21714028,-30.6857,-6.27167,,
TW1,21714028,-37.655,-29.7204,,
TW1,21714028,-4.20395,-46.9286,,
TW1,21714028,-20.397,-33.8247,,
TW1,21714028,-6.53948,-47.433,,
TW1,21714028,-23.1062,-45.6892,,
TW1,21714028,-26.4756,-34.4101,,
TW1,21714028,-13.2284,-39.4736,,
TW1,21714028,-16.8345,-21.7173,,
TW1,21714028,-12.0202,-24.8376,,
TW1,21714028,-14.1876,-6.25299,,
TW1,21714028,-37.2564,-20.1665,,
TW1,21714028,-20.0046,-34.653,,
TW1,21714028,-37.082,-16.33,,
TW1,21714028,-38.7449,-38.1345,,
TW1,21714028,-25.0057,-9.13659,,
TW1,21714028,-11.9953,-16.8781,,
TW1,21714028,-12.344,-38.5892,,
TW1,21714028,-14.4429,-18.7154,,
TW1,21714028,-44.045,-34.2793,,
TW1,21714028,-75.7832,-30.0069,,
TW1,21714028,-14.6173,-15.838,,
TW1,21714028,-38.6141,-29.4588,,
TW1,21714028,-16.8469,-49.1956,,
TW1,21714028,-8.01554,-48.2987,,
TW1,21714028,-29.2471,-31.6885,,
TW1,21714028,-19.17,-31.9874,,
TW1,21714028,-14.1813,-45.9196,,
TW1,21714028,-22.6951,-36.1228,,
TW1,21714028,-27.553,-44.6429,,
TW1,21714028,-57.1302,-49.8059,,
TW1,21714028,-46.8787,-31.0096,,
TW1,21714028,-2.09886,-22.8508,,
TW1,21714028,-9.6722,-7.2308,,
TW1,21714028,-17.2269,-9.29229,,
TW1,21714028,-21.7858,-59.0173,,
TW1,21714028,-17.0961,-57.3793,,
TW1,21714028,-14.3744,-65.0336,,
TW1,21714028,-25.7593,-54.4459,,
TW1,21714028,-20.0793,-36.5588,,
TW1,21714030,-82.603,-53.3061,,
TW1,21714030,-33.8434,-42.3883,,
TW1,21714030,-16.0871,-32.5666,,
TW1,21714030,-29.5709,-33.8434,,
TW1,21714030,-27.7835,-54.6389,,
TW1,21714030,-17.9867,-36.9076,,
TW1,21714030,-33.2019,-44.1882,,
TW1,21714030,-23.3179,-34.9146,,
TW1,21714030,-41.6658,-11.1483,,
TW1,21714030,-40.495,-23.4051,,
TW1,21714030,-27.8333,-45.5335,,
TW1,21714030,-7.04396,-0.94044,,
TW1,21714030,-25.2299,-58.1889,,
TW1,21714030,-45.6456,-26.7247,,
TW1,21714030,-50.3478,-46.0753,,
TW1,21714030,-30.692,-49.0025,,
TW1,21714030,-17.1334,-23.237,,
TW1,21714030,-39.9344,-61.9071,,
TW1,21714030,-13.6582,-13.0478,,
TW1,21714030,-1.0214,-27.8769,,
TW1,21714030,-33.5133,-40.8375,,
TW1,21714030,-21.9789,-1.22693,,
TW1,21714030,-27.4596,-29.2906,,
TW1,21714030,-21.8979,-40.2085,,
TW1,21714030,-12.2818,-15.9439,,
TW1,21714030,-28.0326,-31.6947,,
TW1,21714030,-50.4537,-68.1538,,
TW1,21714030,0.361228,-50.298,,
TW1,21714030,-9.26738,-39.785,,
TW1,21714030,-43.6713,-35.7367,,
TW1,21714030,-22.7761,-59.3972,,
TW1,21714030,-49.37,-17.6317,,
TW1,21714030,-54.4957,-110.038,,
TW1,21714030,-37.2065,-79.3208,,
TW1,21714030,-77.1161,-42.9364,,
TW1,21714030,-54.6451,-72.9557,,
TW1,21714030,-28.5495,-35.2634,,
