letter,ID,P1,P2
RMNC1,concatenate183,-140.5013275,-50.77964401
RMNC1,concatenate183,-101.2701721,-115.3082581
RMNC1,concatenate183,-142.0272064,-85.26450348
RMNC1,concatenate183,-119.0908356,-102.0009918
RMNC1,concatenate183,-128.1738281,-83.0078125
RMNC1,concatenate183,-155.8404236,-45.97714233
RMNC1,concatenate183,-138.1402283,-52.69100952
RMNC1,concatenate183,-87.29633331,-45.18207932
RMNC1,concatenate183,-106.5786285,-99.86476135
RMNC1,concatenate183,-91.48045349,-50.58690262
RMNC1,concatenate183,-64.11904144,-101.3504868
RMNC1,concatenate183,-75.32220459,-70.43939209
RMNC1,concatenate183,-135.184845,-64.38405609
RMNC1,concatenate183,-114.2562027,-86.79038239
RMNC1,concatenate183,-76.65533447,-27.21686172
RMNC1,concatenate183,-175.540329,-10.13504791
RMNC1,concatenate183,-71.84480286,-12.03035069
RMNC1,concatenate183,-147.0144196,-14.56812763
RMNC1,concatenate183,-94.7249527,-25.75522995
RMNC1,concatenate183,-72.11785889,-10.47234821
RMNC1,concatenate183,-104.8840942,-7.838199139
RMNC1,concatenate183,-97.9052124,-99.12591553
RMNC1,concatenate183,-47.62348557,-72.64789581
RMNC1,concatenate183,-103.8802261,-25.14487839
RMNC1,concatenate183,-32.05952072,-22.90424538
RMNC1,concatenate183,-82.94356537,-18.85665131
RMNC1,concatenate183,-118.7535324,-11.94200993
RMNC1,concatenate183,-54.89148712,-10.94617367
RMNC1,concatenate183,-149.9617767,-29.72251511
RMNC1,concatenate183,-105.4944458,-56.66632462
RMNC1,concatenate183,-125.3067856,-19.71596146
RMNC1,concatenate183,-107.558403,-43.47148514
RMNC1,concatenate183,-80.22910309,-64.35996246
RMNC1,concatenate183,-88.65356445,-56.9152832
RMNC1,concatenate183,-83.98758698,-13.79715729
RMNC1,concatenate183,-63.16335678,-75.37038422
RMNC1,concatenate183,-98.70027161,-51.09284973
RMNC1,concatenate183,-81.96379089,-27.03215027
RMNC1,concatenate183,-64.07888031,-17.0818119
RMNC1,concatenate183,-125.579834,-14.49584961
RMNC1,concatenate183,-136.0441437,-28.62227631
RMNC1,concatenate183,-124.4715652,-10.94617367
RMNC1,concatenate183,-84.6862793,-9.002685547
RMNC1,concatenate183,-149.5200653,-14.02202415
RMNC1,concatenate183,-90.64524078,-11.2995348
RMNC1,concatenate183,-65.79750824,-9.645160675
RMNC1,concatenate183,-114.6497192,-29.81085587
RMNC1,concatenate183,-17.65200996,-140.9430237
RMNC1,concatenate183,-162.3615417,-14.04611683
RMNC1,concatenate183,-78.39002228,-57.02771759
RMNC1,concatenate183,-93.44000244,-15.3150053
RMNC1,concatenate183,-84.7665863,-9.693346977
RMNC1,concatenate183,-80.82339478,-17.95718575
RMNC1,concatenate183,-115.9025497,-40.82930756
RMNC1,concatenate183,-99.59973907,-59.31653595
RMNC1,concatenate183,-78.80763245,-73.31446838
RMNC1,concatenate183,-73.75616455,-69.48370361
