"category","interval_pruned","sex","treatment","mean_P1_all_cells","sd_P1_all_cells","n","se_P1_all_cells","cv_P1_all_cells","time"
"1","t0to1","Female","Control",93.65,16.64,10,5.26,17.77,1
"1","t1to2","Female","Control",99.51,11.45,10,3.62,11.51,2
"1","t2to3","Female","Control",105.83,14.11,10,4.46,13.33,3
"1","t3to4","Female","Control",99.28,9.38,10,2.96,9.44,4
"1","t4to5","Female","Control",102.26,14.33,10,4.53,14.01,5
"1","t5to6","Female","Control",129.6,30.72,10,9.71,23.7,6
"1","t6to7","Female","Control",125.23,46.52,10,14.71,37.14,7
"1","t7to8","Female","Control",122.29,32.5,10,10.28,26.57,8
"1","t8to9","Female","Control",111.7,43.89,10,13.88,39.29,9
"1","t9to10","Female","Control",115.62,55.38,10,17.51,47.9,10
"1","t10to11","Female","Control",115.02,39.61,10,12.53,34.44,11
"1","t11to12","Female","Control",113.23,42.82,10,13.54,37.82,12
"1","t12to13","Female","Control",116.94,48.71,10,15.4,41.65,13
"1","t13to14","Female","Control",113.98,33.95,10,10.73,29.78,14
"1","t14to15","Female","Control",109.78,38.61,10,12.21,35.17,15
"1","t15to16","Female","Control",116.23,32.32,10,10.22,27.81,16
"1","t16to17","Female","Control",124.93,36.39,10,11.51,29.13,17
"1","t17to18","Female","Control",125.04,44.4,10,14.04,35.51,18
"1","t18to19","Female","Control",123.17,33.06,10,10.46,26.84,19
"1","t19to20","Female","Control",109.81,37.62,10,11.9,34.26,20
"1","t20to21","Female","Control",110.32,34.49,10,10.91,31.26,21
"1","t21to22","Female","Control",105.21,24.69,10,7.81,23.47,22
"1","t22to23","Female","Control",110.76,45.72,10,14.46,41.28,23
"1","t23to24","Female","Control",120.46,48.23,10,15.25,40.04,24
"1","t24to25","Female","Control",107.95,40.66,10,12.86,37.66,25
"1","t25to26","Female","Control",102.63,36.43,10,11.52,35.5,26
"1","t26to27","Female","Control",109.55,28.67,10,9.07,26.17,27
"1","t27to28","Female","Control",103.56,41.01,10,12.97,39.6,28
"1","t28to29","Female","Control",125.77,39.91,10,12.62,31.73,29
"1","t29to30","Female","Control",108.38,20.75,10,6.56,19.15,30
"2","t0to1","Female","Control",91.42,17.87,8,6.32,19.54,1
"2","t1to2","Female","Control",100.22,12.31,8,4.35,12.29,2
"2","t2to3","Female","Control",99.25,9.67,8,3.42,9.74,3
"2","t3to4","Female","Control",92.28,11.54,8,4.08,12.5,4
"2","t4to5","Female","Control",117.54,18.34,8,6.48,15.6,5
"2","t5to6","Female","Control",164.99,90.18,8,31.89,54.66,6
"2","t6to7","Female","Control",147.57,87.66,8,30.99,59.4,7
"2","t7to8","Female","Control",138.58,69.03,8,24.41,49.81,8
"2","t8to9","Female","Control",127.51,48.76,8,17.24,38.24,9
"2","t9to10","Female","Control",122.99,47.62,8,16.84,38.72,10
"2","t10to11","Female","Control",114.38,44.6,8,15.77,38.99,11
"2","t11to12","Female","Control",107.83,20.47,8,7.24,18.98,12
"2","t12to13","Female","Control",94.72,30.5,8,10.78,32.2,13
"2","t13to14","Female","Control",96.53,23.98,8,8.48,24.84,14
"2","t14to15","Female","Control",76.05,30.63,8,10.83,40.27,15
"2","t15to16","Female","Control",77.53,15.45,8,5.46,19.93,16
"2","t16to17","Female","Control",84.09,14.68,8,5.19,17.46,17
"2","t17to18","Female","Control",86.45,19.64,8,6.94,22.72,18
"2","t18to19","Female","Control",78.38,25.27,8,8.93,32.24,19
"2","t19to20","Female","Control",85.57,23.99,8,8.48,28.03,20
"2","t20to21","Female","Control",80.99,27.99,8,9.89,34.56,21
"2","t21to22","Female","Control",81.6,29.13,8,10.3,35.7,22
"2","t22to23","Female","Control",80.34,29.19,8,10.32,36.33,23
"2","t23to24","Female","Control",71.7,21.06,8,7.45,29.37,24
"2","t24to25","Female","Control",75.36,34.13,8,12.07,45.29,25
"2","t25to26","Female","Control",77.82,31.75,8,11.23,40.8,26
"2","t26to27","Female","Control",76.46,26.92,8,9.52,35.21,27
"2","t27to28","Female","Control",64.63,15.35,8,5.43,23.74,28
"2","t28to29","Female","Control",69.41,15.36,8,5.43,22.12,29
"2","t29to30","Female","Control",65.45,20.08,8,7.1,30.67,30
